Name,Date,Nationality,Summary,Description
María Amparo Ruiz de Burton ,1832 – 1895,Not found, The first female Mexican-American author to have her works published in English.,"Ruiz de Burton published two books: Who Would Have Thought It? (1872) and The Squatter and the Don(1885); and one play: Don Quixote de la Mancha: A Comedy in Five Acts: Taken From Cervantes’ Novel of That Name (1876). Her literary works are considered  a precursor to Chicano Literature. They share the perspective of the conquered Mexican population that, despite their citizenship through the Treaty of Guadalupe Hidalgo, continued to be a marginalized national minority. "
Jovita Idár ,1885-1946,Not found,"  She was an American journalist, teacher, political activist, and civil rights worker who championed the cause of Mexican-Americans and Mexican immigrants.",Idár’s career in journalism allowed her to bring attention to issues facing Mexican-Americans. She always worked towards making a positive change. She served as the president of the League of Mexican Women—La Liga Femenil Mexicanista—in October 1911. She was also active in the Primer Congreso Mexicanista.
Octaviano Larrazolo ,1859 – 1930,Not found, He was the first Mexican-American United States Senator in 1928.,Larrazolo was a Republican politician who was New Mexico’s 4th governor and first Hispanic Senator. He was very outspoken about Hispanic-American rights.
Gabriela Mistral ,1889 – 1957,Not found, She became the first Latin American author to receive a Nobel Prize in Literature in 1945.,"Mistral was a Chilean poet-diplomat, educator and humanist. The themes of her poetry include nature, betrayal, love, a mother’s love, sorrow and recovery, travel, and Latin American identity as formed from a mixture of Native American and European influences. Her portrait also appears on the 5,000 Chilean peso bank note."
Luis Walter Alvarez ,1911-1988,Not found," His work as an experimental physicist, inventor, and professor who was awarded the Nobel Prize in Physics in 1968. ",Alvarez was involved in the development of the hydrogen bubble chamber which enabled the discovery of resonance states in particle physics. This earned him the Nobel Prize in Physics in 1968.
Guy Louis Gabaldon,1926 – 2006,Not found," In 1944, during World War II, he persuaded over 1,300 Japanese soldiers and civilians to surrender during the battles for Saipan and Tinian islands.","Gabaldon was a United States Marine. He received the Silver Star, which was upgraded by the Marine Corps to the Navy Cross in 1960. This was awarded to him for his service in WWII for persuading 1,300 Japanese soldiers to surrender. His experience with the Japanese language and culture came from his experience living with the Nakano family, who were of Japanese heritage. He considered them his extended family."
Cesar Chavez ,1927 – 1993,Not found,Chavez helped to organize strikes among farm and labor workers. He was inspired by Ghandi’s use of non-violent protesting methods. He encouraged the peaceful use of pickets and boycotts to pressure farm owners into granting strikers’ demands. The Delano grape strike of 1965–1970 was one of the most successful strikes that he helped to organize. In 1994 he posthumously received the Presidential Medal of Freedom., 
Ruben Salazar ,1928 -1970,Not found, Being the first Mexican-American journalist from mainstream media to cover the Chicano community.,"Salazar used his platform as a mainstream journalist to bring much needed attention to the Chicano community and the struggles that they faced. Many of his pieces were critical of the Los Angeles government’s treatment of Chicanos, particularly after he came into conflict with police during the East L.A. walkouts. During the National Chicano Moratorium March against the Vietnam War on August 29, 1970 Salazar was tragically killed by a tear-gas projectile fired by Los Angeles County Sheriff’s deputy Thomas Wilson. "
Richard E. Cavasos  ,1929-2017,Not found, Becoming the United States Army’s first Hispanic four-star general.,"During the Vietnam War, as a lieutenant colonel, Cavazos was awarded a second Distinguished Service Cross. In 1976, Cavazos became the first Mexican American to reach the rank of brigadier general in the United States Army. Cavazos served for thirty-three years, with his final command as head of the United States Army Forces Command."
Dolores Huerta ,1930 – Present,Not found, She is an American labor leader and civil rights activist. She co-founded the National Farm Workers Association (NFWA) alongside Cesar Chavez.,"Huerta has received numerous awards for her community service and advocacy for workers’, immigrants’, and womens’ rights, including the Eugene V. Debs Foundation Outstanding American Award, the United States Presidential Eleanor Roosevelt Award for Human Rights. and the Presidential Medal of Freedom. She was the first Latina inducted into the National Women’s Hall of Fame, in 1993. "
Rita Moreno ,1931 – Present,Not found," Being a Puerto Rican actress, dancer, and singer. Her most famous roles were in the musical films Singin’ in the Rain (1952), The King and I (1956) and West Side Story (1961).","Moreno has had the honor of winning all four major American entertainment awards: An Emmy, a Grammy, an Oscar and a Tony. She has won numerous other awards, including various lifetime achievement awards and the Presidential Medal of Freedom. In 2015, she was awarded a Kennedy Center Honors Lifetime Artistic Achievement Award for her contribution to American culture, through performing arts. And she was also awarded the Peabody Career Achievement Award in 2019."
